DepartureStation;ArrivalStation
9DI;IDA
A01;IDA
A02;IDA
A06;LET
A13;TAP
BMG;GYM
CRU;MFS
CTG;GYM
GYM;CTG
GYM;VVC
IDA;9DI
IDA;A01
IDA;GYM
IDA;MVP
IDA;ORC
IDA;PCE
IDA;VLA
IDA;VVC
LCH;A06
LCH;VVC
LET;LPD
LET;PUR
LMC;VVC
LPD;LCH
LPD;MVP
LPD;VVC
MFS;A06
MFS;SJE
MVP;A02
MVP;IDA
MVP;MFS
MVP;VVC
ORC;VVC
PCE;VVC
PCR;GYM
PCR;VVC
PIM;PCR
PIM;VVC
PUR;SJE
PUR;TAP
PUR;VVC
SJE;A13
SJE;CRU
SJE;MFS
SJE;VVC
TAP;LET
TAP;PUR
TAR;MVP
TPI;MFS
VLA;VVC
VVC;A13
VVC;BGM
VVC;GYM
VVC;IDA
VVC;LCH
VVC;LMC
VVC;LPD
VVC;MFS
VVC;MVP
VVC;PCE
VVC;PCR
VVC;PIM
VVC;PUR
VVC;SJE
VVC;TAR
9BY;EYP
A13;LPD
ACR;LET
AUC;EYP
AUC;TME
EYP;9BY
EYP;AUC
EYP;RAV
EYP;VVC
LCH;ACR
LCH;LET
LET;ACR
LET;LCH
LET;LPD
LET;PCA
LET;TAP
LET;TAR
LPD;ACR
LPD;LET
PCA;A13
PCA;LET
RAV;EYP
TAP;LET
TAR;LET
TME;EYP
VVC;EYP
EYP;VVC
MAP;VVC
PCE;VVN
PCR;VVC
VVC;EYP
VVC;MAP
VVC;PCE
VVC;PCR
VVC;VVC
VVN;VVC
9DI;IDA
9OX;PCE
9OX;PCR
9OX;VVC
9PB;EYP
9PB;HTZ
A06;SJE
A06;VVC
BMG;IDA
BMG;PCE
BMG;VVC
CAR;VVC
EYP;VVC
HTZ;VVC
IDA;9DI
IDA;BMG
IDA;PCR
IDA;VVC
LMC;MAP
LMC;VVC
LPD;TAR
LPD;VVC
MAP;VVC
PCE;9OX
PCE;BMG
PCE;PCR
PCE;PIM
PCE;VVC
PCR;9OX
PCR;IDA
PCR;PCE
PIM;PCE
PIM;VVC
PTC;VVC
SJE;A06
SJE;TAR
SJE;VVC
SRO;PIM
SRO;VVC
TAR;LPD
TAR;SJE
TAR;VVC
VVC;9DI
VVC;9OX
VVC;9PB
VVC;A06
VVC;BMG
VVC;CAR
VVC;EYP
VVC;IDA
VVC;LMC
VVC;PCE
VVC;PIM
VVC;PTC
VVC;SJE
VVC;SRO
VVC;TAR
VVC;VVC
BAQ;CTG
BOG;MDE
BOG;PTY
BOG;VVC
CAQ;MDE
CHS;MDE
CLO;MDE
CLO;NVA
CTG;MDE
FLL;MDE
IBE;CLO
JBQ;MDE
MDE;BAQ
MDE;BOG
MDE;CAQ
MDE;CHS
MDE;CLO
MDE;CTG
MDE;FLL
MDE;IBE
MDE;JBQ
MDE;MDE
MDE;MTR
MDE;OPF
MDE;PTY
MMP;CTG
MTR;MDE
NVA;EYP
OPF;MDE
PTY;MDE
VVC;BOG
EYP;GYM
EYP;VVC
GYM;VVC
IDA;VVC
LMC;VCC
LMC;VVC
MAP;VVC
MTU;VVC
ORC;PGM
ORC;VVC
PGM;LMC
PGM;VVC
PUU;VVC
PZA;VVC
RVE;VVC
SJE;MTU
SJE;VVC
SRO;IDA
VCC;RVE
VVC;EYP
VVC;GYM
VVC;LMC
VVC;MAP
VVC;ORC
VVC;PGM
VVC;PUU
VVC;PZA
VVC;SJE
VVC;SRO
VVC;VVC
9CI;EYP
9CI;RDN
9CI;VLA
EYP;9CI
EYP;PCE
EYP;PZA
EYP;VLA
EYP;VVC
PCE;PIM
PIM;EYP
PZA;9CI
PZA;EYP
RDN;9CI
VLA;EYP
VVC;EYP
7GF;VVC
7GS;PCE
7GS;PIM
7GS;SRO
7GS;VVC
7HT;EYP
7HV;VVC
7HX;VVC
7IK;BMG
7IK;PCE
7IK;PIM
7IK;SRO
7IK;VVC
7IV;7IK
7IV;PCR
9DE;PIM
9DI;A02
9DI;PID
A01;PID
A02;PID
A06;LET
A07;SJE
ACR;VVC
ARC;VVC
BMG;7GS
BMG;PCE
BMG;PIM
BMG;SRO
BMG;VVC
CRU;MFS
CRU;SJE
EYP;7HV
EYP;VVC
LCH;SJE
LET;LPD
LET;VVC
LEV;PCE
LEV;SRO
LEV;VVC
LMC;LMC
LMC;VVC
LPD;VVC
LQM;VVC
MAP;LMC
MAP;MCL
MAP;PCA
MAP;VVC
MCL;MVP
MFR;MVP
MFS;SJE
MFS;VVC
MIT;VVC
MPI;MVP
MTI;MVP
MUR;MVP
MVP;MIT
MVP;MPI
MVP;MTI
MVP;MUR
MVP;PCA
MVP;VVC
PCA;LQM
PCA;MAP
PCA;VVC
PCE;7GS
PCE;7HX
PCE;7IK
PCE;PID
PCE;PIM
PCE;SRO
PCE;VVC
PCR;PIM
PCR;VVC
PGM;PIM
PID;9DI
PID;A01
PID;PCE
PID;PCR
PID;VVC
PIM;7GS
PIM;7IK
PIM;7IV
PIM;LEV
PIM;PCE
PIM;SRO
PIM;VVC
PUR;LET
SJE;A07
SJE;CRU
SJE;LCH
SJE;MFS
SJE;VVC
SRO;7IV
SRO;9DI
SRO;MAP
SRO;PCE
SRO;PIM
SRO;VVC
TAP;VVC
URM;LMC
URM;VVC
VVC;7GF
VVC;7GS
VVC;7HT
VVC;7IK
VVC;9DE
VVC;A02
VVC;A06
VVC;ACR
VVC;ARC
VVC;BMG
VVC;EYP
VVC;LEV
VVC;LMC
VVC;MAP
VVC;MFR
VVC;MFS
VVC;MPI
VVC;MVP
VVC;PCA
VVC;PCE
VVC;PCR
VVC;PGM
VVC;PID
VVC;PIM
VVC;PUR
VVC;SJE
VVC;SRO
VVC;TAP
VVC;URM
7GS;PCE
7GS;VVC
7IK;VVC
9AK;MVP
A01;MVP
A07;MVP
A09;MVP
CRU;MVP
EYP;VVC
LMC;VVC
LPR;VVC
MAP;LMC
MBQ;MVP
MCL;MVP
MDR;MTN
MDR;MVP
MFR;MVP
MFS;SJE
MGU;MVP
MIB;MVP
MIS;MVP
MIT;MIS
MIT;MTI
MIT;MVP
MIT;MYA
MKA;MVP
MPI;MVP
MPU;MVP
MSA;MVP
MTC;MVP
MTI;MDR
MTI;MFR
MTI;MIT
MTI;MVP
MTN;CRU
MTN;MVP
MTS;MVP
MTU;VVC
MUR;MVP
MVA;MVP
MVA;MYA
MVP;9AK
MVP;A01
MVP;A07
MVP;A09
MVP;CRU
MVP;MBQ
MVP;MCL
MVP;MDR
MVP;MFR
MVP;MGU
MVP;MIB
MVP;MIT
MVP;MKA
MVP;MPI
MVP;MPU
MVP;MSA
MVP;MTC
MVP;MTI
MVP;MTN
MVP;MTS
MVP;MUR
MVP;MVA
MVP;MVU
MVP;MWA
MVP;MYA
MVP;MYY
MVP;TAR
MVP;VVC
MVU;MVP
MWA;MVP
MYA;MVP
MYY;MVP
PCE;7GS
PCE;7IK
PCE;SRO
PCE;VVC
PIM;VVC
SJE;MFS
SJE;PIM
SJE;VVC
SRO;PIM
SRO;VVC
TAR;MTI
TAR;MVP
TDA;VVC
VVC;EYP
VVC;LMC
VVC;LPR
VVC;MAP
VVC;MTU
VVC;MVP
VVC;PCE
VVC;PIM
VVC;SJE
VVC;SRO
VVC;TDA
A04;BAQ
BAQ;A04
BAQ;BAQ
BAQ;CAQ
BAQ;CZU
BAQ;PEI
BAQ;SMR
BAQ;VUP
CAQ;BAQ
CZU;BAQ
CZU;MTR
MMP;SMR
MTR;BAQ
PEI;BAQ
SMR;BAQ
SMR;MMP
VUP;BAQ
A04;BGA
AGH;BGA
AGH;CUC
BAG;BOG
BGA;A04
BGA;AGH
BGA;BGA
BGA;CIM
BGA;CUC
BGA;EOH
BGA;MLG
BGA;RVE
BGA;SGL
BGA;SMR
BOG;BGA
CIM;BGA
CUC;AGH
CUC;BGA
CUC;OCV
CUC;RVE
EOH;BGA
MLG;BGA
MLG;SGL
OCV;CUC
RVE;BGA
RVE;CUC
SGL;BGA
SMR;BGA
7IY;AUC
7NS;GYM
9AN;7NS
9BY;GYM
9CU;EYP
9CU;NUC
9CU;TRD
9CU;TRI
A13;SJE
ARC;GYM
ARC;LET
AUC;7IY
AUC;EYP
AUC;GYM
AUC;VVC
BAQ;EJA
BAQ;GYM
BGA;GYM
BGA;VVC
CAQ;MTR
CLO;GYM
CUC;GYM
EJA;BAQ
EJA;CUC
EJA;GYM
EYP;9CU
EYP;BGA
EYP;CLO
EYP;GYM
EYP;IBE
EYP;LPR
EYP;NUC
EYP;ORS
EYP;PZR
EYP;TRD
EYP;TRI
EYP;VVC
GIR;GIR
GIR;GYM
GYM;7NS
GYM;9BY
GYM;AUC
GYM;CAQ
GYM;EJA
GYM;EYP
GYM;GIR
GYM;GYM
GYM;IBE
GYM;LCH
GYM;LMC
GYM;MQU
GYM;NVA
GYM;PTL
GYM;SGU
GYM;SJE
GYM;TLU
GYM;VGP
GYM;VVC
IBE;GYM
IBE;VVC
LCH;LET
LCH;SJE
LET;ARC
LET;LPD
LET;LQM
LET;TAP
LMC;GYM
LPD;LET
LPR;EYP
LQM;LET
LQM;PCA
MFS;SJE
MQU;GYM
MTR;GYM
NUC;EYP
NUC;ORS
NUC;PZR
NUC;TRD
NVA;GYM
NVA;VGP
ORO;PZR
ORS;EYP
ORS;TRD
PCA;LET
PCR;VVC
PGM;VVC
PTL;GYM
PTL;NVA
PZR;9CU
PZR;EYP
SGU;9AN
SJE;A13
SJE;ARC
SJE;GYM
SJE;LCH
SJE;LPD
SJE;MFS
SJE;VVC
SVI;VVC
TAP;LET
TAP;SJE
TLU;MTR
TRD;9CU
TRD;EYP
TRD;NUC
TRD;ORO
TRD;PZR
TRD;TRI
TRI;TRD
VGP;NVA
VGP;VVC
VVC;9BY
VVC;BGA
VVC;EJA
VVC;EYP
VVC;GYM
VVC;LMC
VVC;PCR
VVC;PGM
VVC;SJE
VVC;SVI
VVC;VVC
7NS;BOG
AGH;BOG
BOG;7NS
BOG;AGH
BOG;BOG
BOG;CTG
BOG;GIR
BOG;MDE
CTG;BOG
CTG;FXE
GIR;BOG
MDE;BOG
EYP;VVC
GYM;VVC
IDA;PIM
LQM;PUU
LQM;VGP
LQM;VVC
NVA;LQM
NVA;PUU
NVA;VVC
PGM;VVC
PIM;VVC
PUU;NVA
PUU;VVC
SJE;SVI
SJE;VVC
SVI;VVC
URM;VVC
VGP;NVA
VLA;VVC
VVC;EYP
VVC;GYM
VVC;IDA
VVC;LQM
VVC;NVA
VVC;PGM
VVC;PUU
VVC;SJE
VVC;SVI
VVC;URM
VVC;VVC
VVC;VVN
VVN;VLA
BOG;EOH
BOG;VVC
CGW;EOH
EBG;EOH
EOH;CGW
EOH;EBG
EOH;NQU
EOH;UIB
MDE;EOH
NQU;EOH
NQU;MDE
NQU;UIB
UIB;NQU
UIB;UIB
7GH;PCR
BMG;VVC
LMC;VVC
MAP;VVC
PCE;7GH
PCE;PCR
PCE;PZA
PCE;VVC
PCR;PCE
PIM;SRO
PZA;VVC
SRO;VVC
VVC;BMG
VVC;LMC
VVC;MAP
VVC;PCE
VVC;PIM
7NS;BOG
7NT;BOG
7NT;EYP
ACD;EOH
ADZ;ADZ
AGH;BOG
AMS;SMA
ANU;MDE
ANU;SMA
AUC;BGA
AUC;BOG
BAQ;ANU
BAQ;BOG
BAQ;CLO
BAQ;CTG
BAQ;POP
BAQ;VUP
BEC;BOG
BGA;AUC
BGA;BOG
BOC;VVC
BOG;7NS
BOG;7NT
BOG;AGH
BOG;AUC
BOG;BAQ
BOG;BGA
BOG;BSC
BOG;CLO
